timestamp,price
1784737206,0.76
1784737807,0.755
1784738407,0.79
1784739006,0.775
1784739620,0.775
1784740207,0.775
1784740807,0.76
1784741408,0.725
1784742007,0.74
1784742606,0.745
1784743213,0.74
1784743806,0.73
1784744406,0.735
1784745008,0.73
1784745610,0.71
1784746205,0.71
1784746807,0.725
1784747422,0.715
1784748010,0.715
1784748609,0.725
1784749207,0.73
1784749808,0.725
1784750409,0.72
1784751007,0.725
1784751607,0.735
1784752207,0.74
1784752808,0.74
1784753407,0.74
1784754012,0.745
1784754607,0.735
1784755207,0.725
1784755809,0.745
1784756407,0.74
1784757007,0.75
1784757613,0.755
1784758207,0.74
1784758807,0.735
1784759409,0.745
1784760008,0.735
1784760607,0.745
1784761208,0.74
1784761807,0.755
1784762407,0.73
1784763009,0.735
1784763607,0.74
1784764207,0.745
1784764818,0.745
1784765408,0.76
1784766007,0.765
1784766607,0.765
1784767207,0.765
1784767807,0.76
1784768421,0.75
1784769007,0.745
1784769607,0.735
1784770208,0.725
1784770807,0.705
1784771407,0.715
1784772009,0.715
1784772607,0.72
1784773209,0.705
1784773809,0.705
1784774407,0.71
1784775009,0.71
1784775614,0.715
1784776212,0.71
1784776807,0.695
1784777410,0.695
1784778008,0.705
1784778607,0.7
1784779212,0.7
1784779807,0.705
1784780409,0.695
1784781010,0.71
1784781607,0.7
1784782235,0.695
1784782823,0.705
1784783418,0.7
1784784013,0.705
1784784623,0.715
1784785210,0.715
1784785810,0.715
1784786426,0.715
1784787020,0.715
1784787619,0.715
1784788225,0.71
1784788807,0.715
1784789422,0.72
1784790016,0.72
1784790608,0.715
1784791209,0.68
1784791809,0.675
1784792406,0.675
1784793006,0.675
1784793608,0.675
1784794206,0.69
1784794806,0.695
1784795413,0.695
1784796007,0.7
1784796607,0.705
1784797219,0.7
1784797809,0.72
1784798408,0.72
1784799012,0.715
1784799608,0.715
1784800208,0.72
1784800818,0.71
1784801407,0.72
1784802009,0.715
1784802616,0.725
1784803207,0.73
1784803809,0.73
1784804411,0.73
1784805008,0.715
1784805608,0.72
1784806214,0.715
1784806806,0.705
1784807408,0.705
1784808028,0.705
1784808607,0.705
1784809209,0.685
1784809816,0.685
1784810406,0.66
1784811008,0.645
1784811614,0.65
1784812209,0.635
1784812808,0.625
1784813414,0.63
1784814007,0.635
1784814606,0.625
1784815213,0.625
1784815806,0.62
1784816409,0.635
1784817015,0.655
1784817606,0.66
1784818209,0.635
1784818826,0.625
1784819408,0.615
1784820006,0.62
1784820626,0.625
1784821206,0.635
1784821808,0.635
1784822413,0.635
1784823010,0.615
1784823610,0.61
1784824216,0.615
1784824810,0.605
1784825410,0.605
1784826027,0.61
1784826608,0.61
1784827211,0.61
1784827816,0.615
1784828409,0.615
1784829010,0.62
1784829626,0.6
1784830209,0.605
1784830807,0.605
1784831417,0.61
1784832012,0.615
1784832609,0.615
1784833218,0.625
1784833808,0.625
1784834420,0.615
1784835019,0.62
1784835628,0.62
1784836210,0.605
1784836816,0.615
1784837410,0.64
1784838007,0.655
1784838615,0.66
1784839206,0.655
1784839806,0.655
1784840422,0.665
1784841008,0.655
1784841611,0.645
1784842215,0.66
1784842823,0.655
1784843406,0.665
1784844016,0.665
1784844608,0.66
1784845208,0.655
1784845815,0.66
1784846433,0.67
1784847013,0.665
1784847615,0.665
1784848208,0.675
1784848808,0.675
1784849413,0.675
1784850008,0.67
1784850609,0.665
1784851221,0.66
1784851806,0.645
1784852406,0.635
1784853010,0.625
1784853606,0.61
1784854221,0.63
1784854810,0.635
1784855420,0.65
1784856006,0.65
1784856610,0.65
1784857208,0.66
1784857806,0.655
1784858413,0.655
1784859008,0.66
1784859607,0.665
1784860213,0.66
1784860808,0.64
1784861408,0.645
1784862023,0.665
1784862608,0.68
1784863212,0.695
1784863816,0.695
1784864425,0.69
1784865006,0.705
1784865616,0.71
1784866210,0.705
1784866814,0.695
1784867418,0.705
1784868006,0.705
1784868608,0.69
1784869226,0.69
1784869810,0.695
1784870409,0.705
1784871017,0.69
1784871609,0.685
1784872214,0.69
1784872823,0.69
1784873414,0.685
1784874009,0.715
1784875211,0.715
1784875806,0.715
1784876412,0.71
1784877006,0.725
1784877621,0.735
1784878215,0.745
1784878810,0.715
1784879406,0.705
1784880014,0.725
1784880619,0.71
1784881206,0.705
1784881812,0.705
1784882419,0.715
1784883006,0.725
1784883623,0.7
1784884208,0.675
1784884806,0.655
1784885422,0.645
1784886009,0.655
